property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,orris aster court premier,sector 85,1.25,5896.23,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6.0,East,Relatively New,2120.0,1616.0,,0,1,0,0,0,1,49,706.6666666666666
house,independent,sector 12,2.9,10740.74,2700.0,Plot area 2700(250.84 sq.m.),7,7,3,2.0,South-West,Old Property,,2700.0,,0,0,0,0,0,0,7,385.7142857142857
flat,hcbs sports ville,sohna road,0.32,6165.7,519.0,Carpet area: 519 (48.22 sq.m.),2,2,2,2.0,,New Property,,,519.0,0,0,0,0,0,0,37,259.5
flat,indiabulls enigma,sector 110,4.25,10953.61,3880.0,Super Built up area 3880(360.46 sq.m.),5,5,3+,4.0,East,Relatively New,3880.0,,,0,1,0,0,0,0,101,776.0
flat,emaar mgf palm hills,sector 77,1.64,8410.26,1950.0,Super Built up area 1950(181.16 sq.m.),4,3,3,9.0,South,Relatively New,1950.0,,,0,1,0,0,0,0,102,487.5
flat,m3m woodshire,sector 107,0.94,6881.41,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,1.0,East,Moderately Old,1366.0,,,0,0,0,0,0,0,113,683.0
flat,adani m2k oyster grande,sector 102,2.6,10007.7,2598.0,Super Built up area 2598(241.36 sq.m.),3,3,3,2.0,North-East,Relatively New,2598.0,,,1,1,1,0,0,0,118,866.0
house,independent,sector 50,13.2,27154.91,4861.0,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0,810.1666666666666
house,independent,sector 7,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively New,,550.0,,0,0,0,0,1,0,22,183.33333333333334
flat,pivotal devaan,sector 84,0.27,7964.6,339.0,Super Built up area 439(40.78 sq.m.)Carpet area: 339 sq.ft. (31.49 sq.m.),1,1,1,13.0,North-East,Relatively New,439.0,,339.0,0,0,0,0,0,2,45,339.0
flat,bestech park view spa next,sector 67,2.32,11989.66,1935.0,Super Built up area 1935(179.77 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,14.0,North-East,Moderately Old,1935.0,,1600.0,0,1,0,0,0,1,59,645.0
flat,dlf the primus,sector 82a,1.59,10338.1,1538.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3+,5.0,North-East,Relatively New,1799.0,,1538.0,0,0,0,0,1,2,167,512.6666666666666
flat,ss the leaf,sector 85,2.2,5641.03,3900.0,Super Built up area 3950(366.97 sq.m.)Built Up area: 3920 sq.ft. (364.18 sq.m.)Carpet area: 3900 sq.ft. (362.32 sq.m.),4,6,3,10.0,North-West,Relatively New,3950.0,3920.0,3900.0,0,1,0,0,0,0,174,975.0
flat,supertech new soft launch,sector 68,0.84,7118.64,1180.0,Built Up area: 1180 (109.63 sq.m.),2,2,2,7.0,East,Undefined,,1180.0,,0,0,0,0,0,0,0,590.0
flat,signature global city,sector 37d,0.8,8421.05,950.0,Super Built up area 950(88.26 sq.m.),2,2,2,2.0,,Under Construction,950.0,,,0,0,0,0,0,0,42,475.0
flat,sobha city,sector 108,2.1,13972.06,1503.0,Super Built up area 1381(128.3 sq.m.),2,2,2,3.0,,Under Construction,1381.0,,,0,0,0,0,0,0,74,751.5
flat,shree vardhman flora,sector 90,0.96,5120.0,1875.0,Super Built up area 1875(174.19 sq.m.),3,4,3,3.0,North,New Property,1875.0,,,0,1,0,0,0,0,106,625.0
flat,ss the leaf,sector 85,1.14,6951.22,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,4.0,South,Relatively New,1640.0,,,0,0,0,0,0,0,109,820.0
flat,bestech park view residency,sector 2,0.95,6709.04,1416.0,Carpet area: 1416 (131.55 sq.m.),2,2,3,10.0,North-East,Old Property,,,1416.0,0,0,0,0,0,1,88,708.0
